population2021,assault_rate2017,assault_rate2018,assault_rate2019,assault_rate2020,assault_rate2021,auto_theft_rate2017,auto_theft_rate2018,auto_theft_rate2019,auto_theft_rate2020,auto_theft_rate2021,break_and_enter_rate2017,break_and_enter_rate2018,break_and_enter_rate2019,break_and_enter_rate2020,break_and_enter_rate2021,robbery_rate2017,robbery_rate2018,robbery_rate2019,robbery_rate2020,robbery_rate2021,theft_over_rate2017,theft_over_rate2018,theft_over_rate2019,theft_over_rate2020,theft_over_rate2021,homicide_rate2017,homicide_rate2018,homicide_rate2019,homicide_rate2020,homicide_rate2021,shootings_rate2017,shootings_rate2018,shootings_rate2019,shootings_rate2020,shootings_rate2021,theftfrom_motor_vehicle_rate2017,theftfrom_motor_vehicle_rate2018,theftfrom_motor_vehicle_rate2019,theftfrom_motor_vehicle_rate2020,theftfrom_motor_vehicle_rate2021
14362,189.179,207.2846,253.8071,163.3175,382.955,15.13432,44.41812,43.50979,63.90684,97.47946,136.2088,177.6725,203.0457,191.7205,208.8846,7.567159,7.40302,29.00653,35.5038,34.81409,NA,22.20906,43.50979,21.30228,20.88846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.97011,170.2695,159.5359,142.0152,160.1448266
30660,1211.097,1230.33,1279.861,1149.387,1105.675,313.988,312.6805,492.5118,617.6306,560.9915,362.2938,414.6416,371.8967,346.7979,375.0815,262.2317,319.478,281.4353,158.5362,130.4632,138.0167,129.1507,103.863,138.7192,107.6321,NA,NA,NA,3.302837,19.56947162,34.50417,27.18961,20.10252,39.63404,42.40052185,562.418,591.3741,539.4177,865.3433,665.3620352
18577,492.5531,395.8919,393.5901,551.0856,522.1511,158.3206,91.80102,168.6815,253.4994,322.98,246.2765,286.8782,219.2859,214.9234,86.12801,82.09218,183.602,67.47259,60.61942,69.979,64.501,34.42538,56.22716,49.59771,26.915,NA,NA,NA,NA,NA,NA,5.737564,11.24543,5.510856,10.76600097,187.6393,304.0909,416.081,484.9554,215.3200194
18100,1031.841,1086.558,1237.405,894.0775,917.1271,341.8371,390.6727,377.1139,501.1389,508.2873,392.4796,408.9855,530.3164,461.2756,364.6409,215.2307,286.9003,247.481,227.7904,93.92265,145.5973,122.0852,176.7721,102.5057,116.0221,6.330316,6.104261,5.892405,5.694761,5.524861878,44.31221,61.04261,100.1709,79.72665,49.72375691,487.4343,592.1133,506.7468,740.3189,624.3093923
27838,374.5318,323.2961,307.3277,383.0719,276.6003,129.9396,116.537,129.596,175.1186,247.8626,191.0877,146.611,236.9756,127.6906,107.7664,95.54384,97.74068,88.86585,72.96607,64.65982,22.93052,30.07406,14.81098,18.24152,25.14548,NA,NA,NA,NA,3.592212084,3.821754,3.759257,3.702744,NA,NA,217.84,296.9813,270.3003,353.8854,204.7560888
30375,418.8336,450.2802,365.6431,437.1038,391.7696,55.84447,106.5548,81.25402,123.4568,184.3621,188.4751,264.6685,226.8341,180.1802,49.38272,94.23755,58.4333,104.9531,60.06006,42.79836,27.92224,10.31176,10.15675,10.01001,16.46091,NA,6.874506,6.771168,3.33667,NA,6.980559,13.74901,6.771168,6.67334,13.16872428,268.7515,185.6117,203.1351,190.1902,190.9465021
23649,506.5991,434.3629,355.1628,376.6478,389.0228,48.88237,127.2376,90.95634,98.44205,131.0838,151.091,188.6627,251.2128,273.9257,164.9118,213.3049,57.03756,73.63132,25.68053,63.42763,35.55082,26.32503,38.98129,42.80089,29.59956,NA,NA,NA,NA,NA,NA,NA,8.662509,NA,NA,279.9627,429.9754,229.5565,256.8053,198.7399044
10982,521.3667,490.1961,688.642,511.5089,555.4544,204.8226,406.9552,477.4585,392.7658,400.6556,158.272,147.9837,128.5465,100.475,72.84647,214.1328,101.7388,91.81893,82.20679,54.63486,37.24048,18.49796,27.54568,45.67044,9.105809,NA,NA,NA,NA,NA,18.62024,9.248982,27.54568,9.134089,9.105809506,186.2024,323.7144,358.0938,502.3749,364.2323803
23812,441.4812,415.1943,516.0898,412.45,491.3489,40.54419,53.00353,65.05334,85.04124,67.19301,85.5933,106.0071,121.4329,174.3345,146.9847,40.54419,17.66784,56.37957,21.26031,58.79388,40.54419,17.66784,21.68445,12.75619,NA,18.01964,NA,NA,8.504125,NA,9.009821,13.25088,34.69512,38.26856,12.59868974,108.1179,132.5088,117.096,110.5536,142.7851503
18566,436.0221,436.8503,465.5493,309.3287,323.1714,50.31025,77.4165,49.29346,86.82911,80.79285,139.7507,99.5355,131.4492,179.085,123.8824,44.72022,55.2975,43.81641,48.84137,26.93095,NA,16.58925,43.81641,27.1341,21.54476,NA,NA,NA,5.426819,NA,11.18005,NA,5.477051,NA,5.386189809,106.2105,204.6008,454.5952,320.1823,312.3990089
16078,258.2097,286.477,288.2767,258.6098,298.5446,139.036,143.2385,102.4984,157.6889,199.0297,258.2097,221.3686,179.3722,309.0703,118.1739,46.34534,26.04336,64.0615,37.84534,18.65904,33.10381,39.06504,19.21845,37.84534,12.43936,6.620763,NA,NA,NA,NA,6.620763,NA,NA,NA,NA,225.1059,384.1396,307.4952,391.0685,230.1281254
52996,449.8742,483.1317,434.4953,433.1695,394.3694,204.6821,328.2818,346.3949,293.3121,322.6659,204.6821,245.6952,250.2853,192.304,222.6583,149.2474,72.26328,72.08218,67.98624,41.51257,70.35947,113.5566,70.07989,56.33146,71.70352,NA,2.064665,2.002283,NA,1.886934863,6.396316,6.193996,10.01141,7.769857,7.547739452,334.7405,371.6398,382.436,425.3997,317.005057
10435,873.6226,1111.002,1051.504,637.4964,939.1471,69.49271,127.8144,87.62535,67.61325,210.8289,287.8983,294.9562,389.446,386.3615,488.7398,347.4635,373.6112,253.1399,183.5217,124.5807,29.78259,49.15937,38.9446,19.31807,57.4988,9.927529,NA,NA,NA,NA,9.927529,NA,9.736151,NA,NA,158.8405,314.62,574.4329,579.5422,507.9060853
10886,647.4681,696.3655,640.241,567.1253,661.4,125.6281,133.5496,357.7817,195.2399,146.9778,115.9644,85.85329,131.8143,139.457,64.30277,57.98222,76.31403,47.07655,74.37709,55.11666,9.663703,19.07851,9.415309,46.48568,NA,NA,9.539254,9.415309,NA,9.186110601,19.32741,66.77478,65.90717,55.78282,36.7444424,164.283,448.3449,254.2133,316.1026,119.4194378
18369,854.6028,1012.673,972.5016,999.1168,658.7185,120.4474,113.1478,111.7818,126.9596,141.5428,183.5389,254.5825,223.5636,154.5595,119.767,126.183,62.23127,156.4945,93.8397,81.65932,22.94236,22.62955,11.17818,38.63988,32.66373,5.73559,NA,NA,5.519982,NA,28.67795,22.62955,33.53454,11.03996,10.88790898,263.8371,299.8416,312.989,496.7984,337.5251783
24635,944.0908,864.5287,1006.88,987.1138,1071.646,77.95245,59.62267,83.90669,66.08293,64.94824,251.1801,332.1835,373.3848,363.4561,251.6745,129.9207,140.5392,142.6414,66.08293,81.1853,43.30692,38.32886,100.688,53.69238,24.35559,NA,4.258762,4.195335,NA,NA,30.31484,25.55257,12.586,16.52073,20.29632636,359.4474,187.3855,226.5481,165.2073,202.9632636
30603,797.3172,987.5207,835.8129,698.09760000000006,731.9544,126.6126,131.8949,127.0436,129.0323,156.8474,318.2425,307.7547,441.3092,476.4268,447.6685,225.8495,114.9853,117.0138,115.7982,104.5649,85.54906,77.78416,70.20828,72.78743,68.62072,17.10981,NA,NA,NA,9.802960494,30.79766,13.52768,20.05951,9.925558,3.267653498,410.6355,554.6349,528.2338,456.5757,405.1890338
20631,245.5822,312.7606,351.467,254.1106,256.895,80.08115,119.8916,203.749,149.4768,300.5186,475.1482,422.2269,427.8729,249.1281,159.9535,10.67749,31.27606,56.03097,44.84305,9.69415,37.3712,31.27606,35.65607,19.93024,33.92952,10.67749,NA,NA,NA,NA,NA,5.212677,5.093725,4.982561,NA,165.501,140.7423,254.6862,298.9537,305.3657118
16722,618.8347,754.1661,719.7291,690.6492,705.6572,30.63538,72.98383,72.57772,84.07903,119.6029,165.431,249.3614,381.033,186.175,95.68233,110.2874,103.3937,84.674,162.1524,59.80146,12.25415,24.32794,18.14443,48.04516,59.80146,6.127076,6.081985,6.048143,NA,NA,18.38123,6.081985,12.09629,18.01694,5.980145916,238.9559,182.4595,296.359,348.3274,322.9278794
13657,933.642,921.3432,932.3308,757.9135,820.0923,648.1481,837.5847,1022.556,824.7882,981.1818,300.9259,426.4068,443.609,193.1936,300.2123,208.3333,258.8898,210.5263,193.1936,102.5115,138.8889,114.2161,165.4135,170.9021,212.3453,15.4321,22.84322,22.55639,NA,NA,69.44444,38.07203,60.15038,37.15262,21.96675697,648.1481,654.8389,533.8346,698.4693,644.3582046
16925,918.3925,645.4756,933.6224,500.1786,720.8271,357.4951,328.8272,403.5658,446.5881,336.7799,129.4379,267.9333,373.449,196.4987,177.2526,209.5661,164.4136,162.631,83.36311,106.3515,43.14596,60.89392,48.18697,59.54507,76.80946,6.163708,NA,NA,NA,5.908419498,36.98225,30.44696,24.09348,35.72705,29.54209749,141.7653,261.8439,234.9115,339.4069,259.9704579
14868,336.628,323.8297,339.4057,313.5224,242.1308,57.29838,70.39775,145.4596,68.15704,147.9688,164.7328,112.6364,200.8728,54.52563,33.62927,50.13609,42.23865,6.926647,20.44711,40.35513,28.64919,14.07955,20.77994,6.815703,13.45171,7.162298,NA,NA,NA,NA,NA,NA,6.926647,6.815703,NA,315.1411,204.1535,228.5793,272.6281,242.1307506
40804,2178.339,2246.91,2416.461,1952.697,2367.415,78.52489,202.7496,148.8689,78.92258,181.3548,578.7576,561.0332,821.4371,616.1053,624.9387,439.1577,522.1497,396.0975,353.8787,328.3992,87.24989,113.8731,108.9933,109.4733,112.734,2.908329,2.777392,2.658373,NA,NA,NA,2.777392,10.63349,5.091779,14.70444074,808.5156,641.5776,911.8218,651.7477,423.9780414
29881,862.1301,983.4803,991.5014,627.9435,746.2936,131.2708,160.9968,231.4655,174.0496,167.3304,361.8818,227.4955,224.5561,204.7642,187.4101,198.6802,94.49811,120.9148,102.3821,30.11947,24.83502,41.99916,48.36592,20.47642,50.19912,NA,3.49993,3.454709,3.412736,6.693216425,NA,20.99958,10.36413,6.825473,10.03982464,365.4297,489.9902,442.2027,371.9883,465.1785415
